    file problem time exit-status
1 109649__200__11_12_65__35.apx EE-GR 103 0
2 109649__200__11_12_65__35.apx SE-GR 104 0
3 109649__200__11_12_65__35.apx EE-CO 170 0
4 109649__200__11_12_65__35.apx SE-CO 170 0
5 109649__200__11_12_65__35.apx EE-ST 143 0
6 109649__200__11_12_65__35.apx SE-ST 144 0
7 109649__200__11_12_65__35.apx EE-PR 169 0
8 109649__200__11_12_65__35.apx SE-PR 170 0
9 116134__200__18_19_87__57.apx EE-GR 100 0
10 116134__200__18_19_87__57.apx SE-GR 100 0
11 116134__200__18_19_87__57.apx EE-CO 250 0
12 116134__200__18_19_87__57.apx SE-CO 241 0
13 116134__200__18_19_87__57.apx EE-ST 157 0
14 116134__200__18_19_87__57.apx SE-ST 156 0
15 116134__200__18_19_87__57.apx EE-PR 243 0
16 116134__200__18_19_87__57.apx SE-PR 244 0
17 119290__200__21_22_51__46.apx EE-GR 107 0
18 119290__200__21_22_51__46.apx SE-GR 105 0
19 119290__200__21_22_51__46.apx EE-CO 118 0
20 119290__200__21_22_51__46.apx SE-CO 115 0
21 119290__200__21_22_51__46.apx EE-ST 114 0
22 119290__200__21_22_51__46.apx SE-ST 112 0
23 119290__200__21_22_51__46.apx EE-PR 117 0
24 119290__200__21_22_51__46.apx SE-PR 114 0
25 120200__300__11_12_33__98.apx EE-GR 107 0
26 120200__300__11_12_33__98.apx SE-GR 111 0
27 120200__300__11_12_33__98.apx EE-CO 845 0
28 120200__300__11_12_33__98.apx SE-CO 838 0
29 120200__300__11_12_33__98.apx EE-ST 549 0
30 120200__300__11_12_33__98.apx SE-ST 550 0
31 120200__300__11_12_33__98.apx EE-PR 838 0
32 120200__300__11_12_33__98.apx SE-PR 836 0
33 120355__300__9_9_17__90.apx EE-GR 116 0
34 120355__300__9_9_17__90.apx SE-GR 114 0
35 120355__300__9_9_17__90.apx EE-CO 20509 0
36 120355__300__9_9_17__90.apx SE-CO 20515 0
37 120355__300__9_9_17__90.apx EE-ST 11988 0
38 120355__300__9_9_17__90.apx SE-ST 12001 0
39 120355__300__9_9_17__90.apx EE-PR 20517 0
40 120355__300__9_9_17__90.apx SE-PR 20514 0
41 120534__300__8_8_15__62.apx EE-GR 133 0
42 120534__300__8_8_15__62.apx SE-GR 134 0
43 120534__300__8_8_15__62.apx EE-CO 548 0
44 120534__300__8_8_15__62.apx SE-CO 542 0
45 120534__300__8_8_15__62.apx EE-ST 441 0
46 120534__300__8_8_15__62.apx SE-ST 438 0
47 120534__300__8_8_15__62.apx EE-PR 539 0
48 120534__300__8_8_15__62.apx SE-PR 540 0
49 120572__300__8_9_15__71.apx EE-GR 134 0
50 120572__300__8_9_15__71.apx SE-GR 134 0
51 120572__300__8_9_15__71.apx EE-CO 589 0
52 120572__300__8_9_15__71.apx SE-CO 588 0
53 120572__300__8_9_15__71.apx EE-ST 487 0
54 120572__300__8_9_15__71.apx SE-ST 489 0
55 120572__300__8_9_15__71.apx EE-PR 586 0
56 120572__300__8_9_15__71.apx SE-PR 588 0
57 121196__300__20_20_24__31.apx EE-GR 114 0
58 121196__300__20_20_24__31.apx SE-GR 114 0
59 121196__300__20_20_24__31.apx EE-CO 6386 0
60 121196__300__20_20_24__31.apx SE-CO 6384 0
61 121196__300__20_20_24__31.apx EE-ST 2986 0
62 121196__300__20_20_24__31.apx SE-ST 2979 0
63 121196__300__20_20_24__31.apx EE-PR 6392 0
64 121196__300__20_20_24__31.apx SE-PR 6369 0
65 122029__300__9_9_18__0.apx EE-GR 125 0
66 122029__300__9_9_18__0.apx SE-GR 128 0
67 122029__300__9_9_18__0.apx EE-CO 1998 0
68 122029__300__9_9_18__0.apx SE-CO 2000 0
69 122029__300__9_9_18__0.apx EE-ST 1505 0
70 122029__300__9_9_18__0.apx SE-ST 1503 0
71 122029__300__9_9_18__0.apx EE-PR 2004 0
72 122029__300__9_9_18__0.apx SE-PR 1996 0
73 122574__400__10_11_36__3.apx EE-GR 104 0
74 122574__400__10_11_36__3.apx SE-GR 106 0
75 122574__400__10_11_36__3.apx EE-CO 833 0
76 122574__400__10_11_36__3.apx SE-CO 830 0
77 122574__400__10_11_36__3.apx EE-ST 354 0
78 122574__400__10_11_36__3.apx SE-ST 360 0
79 122574__400__10_11_36__3.apx EE-PR 836 0
80 122574__400__10_11_36__3.apx SE-PR 826 0
81 122581__300__8_8_11__76.apx EE-GR 125 0
