    file problem time
127 124850__300__7_7_11__38.apx EE-PR 20426
128 124850__300__7_7_11__38.apx SE-PR 20379
129 126235__300__15_15_23__61.apx EE-GR 121
130 126235__300__15_15_23__61.apx SE-GR 120
131 126235__300__15_15_23__61.apx EE-CO 271
132 126235__300__15_15_23__61.apx SE-CO 269
133 126235__300__15_15_23__61.apx EE-ST 201
134 126235__300__15_15_23__61.apx SE-ST 199
135 126235__300__15_15_23__61.apx EE-PR 272
136 126235__300__15_15_23__61.apx SE-PR 269
137 126695__300__12_12_54__79.apx EE-GR 100
138 126695__300__12_12_54__79.apx SE-GR 101
139 126695__300__12_12_54__79.apx EE-CO 113
140 126695__300__12_12_54__79.apx SE-CO 108
141 126695__300__12_12_54__79.apx EE-ST 104
142 126695__300__12_12_54__79.apx SE-ST 103
143 126695__300__12_12_54__79.apx EE-PR 111
144 126695__300__12_12_54__79.apx SE-PR 110
145 127258__300__12_12_22__37.apx EE-GR 121
146 127258__300__12_12_22__37.apx SE-GR 120
147 127258__300__12_12_22__37.apx EE-CO 746
148 127258__300__12_12_22__37.apx SE-CO 743
149 127258__300__12_12_22__37.apx EE-ST 498
150 127258__300__12_12_22__37.apx SE-ST 495
151 127258__300__12_12_22__37.apx EE-PR 752
152 127258__300__12_12_22__37.apx SE-PR 744
153 127686__300__2_2_4__30.apx EE-GR 113
154 127686__300__2_2_4__30.apx SE-GR 113
155 127686__300__2_2_4__30.apx EE-CO 172146
156 127686__300__2_2_4__30.apx SE-CO 171968
157 127686__300__2_2_4__30.apx EE-ST 88158
158 127686__300__2_2_4__30.apx SE-ST 88154
159 127686__300__2_2_4__30.apx EE-PR 172177
160 127686__300__2_2_4__30.apx SE-PR 172201
161 128045__300__8_8_11__38.apx EE-GR 136
162 128045__300__8_8_11__38.apx SE-GR 135
163 128045__300__8_8_11__38.apx EE-CO 13047
164 128045__300__8_8_11__38.apx SE-CO 13022
165 128045__300__8_8_11__38.apx EE-ST 8254
166 128045__300__8_8_11__38.apx SE-ST 8239
167 128045__300__8_8_11__38.apx EE-PR 13030
168 128045__300__8_8_11__38.apx SE-PR 13036
169 130138__300__13_14_55__2.apx EE-GR 100
170 130138__300__13_14_55__2.apx SE-GR 101
171 130138__300__13_14_55__2.apx EE-CO 117
172 130138__300__13_14_55__2.apx SE-CO 111
173 130138__300__13_14_55__2.apx EE-ST 106
174 130138__300__13_14_55__2.apx SE-ST 106
175 130138__300__13_14_55__2.apx EE-PR 114
176 130138__300__13_14_55__2.apx SE-PR 113
177 130999__300__2_2_3__71.apx EE-GR 114
178 130999__300__2_2_3__71.apx SE-GR 113
179 130999__300__2_2_3__71.apx EE-CO 131745
180 130999__300__2_2_3__71.apx SE-CO 131853
181 130999__300__2_2_3__71.apx EE-ST 74207
182 130999__300__2_2_3__71.apx SE-ST 74053
183 130999__300__2_2_3__71.apx EE-PR 131928
184 130999__300__2_2_3__71.apx SE-PR 131772
185 131734__300__7_7_14__88.apx EE-GR 126
186 131734__300__7_7_14__88.apx SE-GR 126
187 131734__300__7_7_14__88.apx EE-CO 10590
188 131734__300__7_7_14__88.apx SE-CO 10574
189 131734__300__7_7_14__88.apx EE-ST 7025
190 131734__300__7_7_14__88.apx SE-ST 7022
191 131734__300__7_7_14__88.apx EE-PR 10596
192 131734__300__7_7_14__88.apx SE-PR 10583
193 132179__300__10_10_15__24.apx EE-GR 113
194 132179__300__10_10_15__24.apx SE-GR 112
195 132179__300__10_10_15__24.apx EE-CO 31260
196 132179__300__10_10_15__24.apx SE-CO 31215
197 132179__300__10_10_15__24.apx EE-ST 18543
198 132179__300__10_10_15__24.apx SE-ST 18538
199 132179__300__10_10_15__24.apx EE-PR 31233
200 132179__300__10_10_15__24.apx SE-PR 31228
201 132701__300__10_11_16__26.apx EE-GR 123
202 132701__300__10_11_16__26.apx SE-GR 124
203 132701__300__10_11_16__26.apx EE-CO 2052
204 132701__300__10_11_16__26.apx SE-CO 2053
205 132701__300__10_11_16__26.apx EE-ST 1532
206 132701__300__10_11_16__26.apx SE-ST 1537
207 132701__300__10_11_16__26.apx EE-PR 2052
208 132701__300__10_11_16__26.apx SE-PR 2067
209 132920__400__12_17_40__77.apx EE-GR 101
210 132920__400__12_17_40__77.apx SE-GR 101
211 132920__400__12_17_40__77.apx EE-CO 153
212 132920__400__12_17_40__77.apx SE-CO 148
213 132920__400__12_17_40__77.apx EE-ST 141
214 132920__400__12_17_40__77.apx SE-ST 140
215 132920__400__12_17_40__77.apx EE-PR 152
216 132920__400__12_17_40__77.apx SE-PR 149
217 132981__300__10_10_19__14.apx EE-GR 121
218 132981__300__10_10_19__14.apx SE-GR 120
219 132981__300__10_10_19__14.apx EE-CO 1433
220 132981__300__10_10_19__14.apx SE-CO 1432
221 132981__300__10_10_19__14.apx EE-ST 1089
222 132981__300__10_10_19__14.apx SE-ST 1096
223 132981__300__10_10_19__14.apx EE-PR 1428
224 132981__300__10_10_19__14.apx SE-PR 1431
225 134006__300__16_17_24__97.apx EE-GR 120
226 134006__300__16_17_24__97.apx SE-GR 121
227 134006__300__16_17_24__97.apx EE-CO 357
228 134006__300__16_17_24__97.apx SE-CO 351
229 134006__300__16_17_24__97.apx EE-ST 282
230 134006__300__16_17_24__97.apx SE-ST 277
231 134006__300__16_17_24__97.apx EE-PR 352
232 134006__300__16_17_24__97.apx SE-PR 354
233 135068__300__11_11_16__84.apx EE-GR 130
234 135068__300__11_11_16__84.apx SE-GR 130
235 135068__300__11_11_16__84.apx EE-CO 450
236 135068__300__11_11_16__84.apx SE-CO 449
237 135068__300__11_11_16__84.apx EE-ST 353
238 135068__300__11_11_16__84.apx SE-ST 352
239 135068__300__11_11_16__84.apx EE-PR 448
240 135068__300__11_11_16__84.apx SE-PR 448
241 136011__300__12_12_21__24.apx EE-GR 123
242 136011__300__12_12_21__24.apx SE-GR 123
243 136011__300__12_12_21__24.apx EE-CO 715
244 136011__300__12_12_21__24.apx SE-CO 713
245 136011__300__12_12_21__24.apx EE-ST 569
246 136011__300__12_12_21__24.apx SE-ST 567
247 136011__300__12_12_21__24.apx EE-PR 716
248 136011__300__12_12_21__24.apx SE-PR 715
249 136131__300__8_10_31__20.apx EE-GR 112
250 136131__300__8_10_31__20.apx SE-GR 112
251 136131__300__8_10_31__20.apx EE-CO 601
252 136131__300__8_10_31__20.apx SE-CO 605
253 136131__300__8_10_31__20.apx EE-ST 452
254 136131__300__8_10_31__20.apx SE-ST 448
255 136131__300__8_10_31__20.apx EE-PR 603
256 136131__300__8_10_31__20.apx SE-PR 602
257 139361__400__14_14_37__40.apx EE-GR 101
258 139361__400__14_14_37__40.apx SE-GR 101
259 139361__400__14_14_37__40.apx EE-CO 693
260 139361__400__14_14_37__40.apx SE-CO 692
261 139361__400__14_14_37__40.apx EE-ST 432
262 139361__400__14_14_37__40.apx SE-ST 430
263 139361__400__14_14_37__40.apx EE-PR 700
264 139361__400__14_14_37__40.apx SE-PR 694
265 139477__300__10_10_18__32.apx EE-GR 129
266 139477__300__10_10_18__32.apx SE-GR 129
267 139477__300__10_10_18__32.apx EE-CO 201
268 139477__300__10_10_18__32.apx SE-CO 201
269 139477__300__10_10_18__32.apx EE-ST 194
270 139477__300__10_10_18__32.apx SE-ST 191
271 139477__300__10_10_18__32.apx EE-PR 199
272 139477__300__10_10_18__32.apx SE-PR 201
273 139987__300__8_12_57__96.apx EE-GR 100
274 139987__300__8_12_57__96.apx SE-GR 100
275 139987__300__8_12_57__96.apx EE-CO 127
276 139987__300__8_12_57__96.apx SE-CO 122
277 139987__300__8_12_57__96.apx EE-ST 112
278 139987__300__8_12_57__96.apx SE-ST 111
279 139987__300__8_12_57__96.apx EE-PR 125
280 139987__300__8_12_57__96.apx SE-PR 123
281 143673__300__4_4_5__98.apx EE-GR 124
282 143673__300__4_4_5__98.apx SE-GR 124
283 143673__300__4_4_5__98.apx EE-CO 82592
284 143673__300__4_4_5__98.apx SE-CO 82598
285 143673__300__4_4_5__98.apx EE-ST 51039
286 143673__300__4_4_5__98.apx SE-ST 51115
287 143673__300__4_4_5__98.apx EE-PR 82623
288 143673__300__4_4_5__98.apx SE-PR 82667
289 143978__300__5_5_8__58.apx EE-GR 123
290 143978__300__5_5_8__58.apx SE-GR 124
291 143978__300__5_5_8__58.apx EE-CO 38131
292 143978__300__5_5_8__58.apx SE-CO 38137
293 143978__300__5_5_8__58.apx EE-ST 25891
294 143978__300__5_5_8__58.apx SE-ST 25869
295 143978__300__5_5_8__58.apx EE-PR 38142
296 143978__300__5_5_8__58.apx SE-PR 38102
297 144063__300__13_13_24__29.apx EE-GR 112
298 144063__300__13_13_24__29.apx SE-GR 112
299 144063__300__13_13_24__29.apx EE-CO 9306
300 144063__300__13_13_24__29.apx SE-CO 9311
301 144063__300__13_13_24__29.apx EE-ST 6108
302 144063__300__13_13_24__29.apx SE-ST 6105
303 144063__300__13_13_24__29.apx EE-PR 9327
304 144063__300__13_13_24__29.apx SE-PR 9328
305 145703__300__11_12_17__95.apx EE-GR 131
306 145703__300__11_12_17__95.apx SE-GR 131
307 145703__300__11_12_17__95.apx EE-CO 436
308 145703__300__11_12_17__95.apx SE-CO 435
309 145703__300__11_12_17__95.apx EE-ST 356
310 145703__300__11_12_17__95.apx SE-ST 360
311 145703__300__11_12_17__95.apx EE-PR 432
312 145703__300__11_12_17__95.apx SE-PR 430
313 145796__300__14_14_18__74.apx EE-GR 125
314 145796__300__14_14_18__74.apx SE-GR 126
315 145796__300__14_14_18__74.apx EE-CO 317
316 145796__300__14_14_18__74.apx SE-CO 317
317 145796__300__14_14_18__74.apx EE-ST 260
318 145796__300__14_14_18__74.apx SE-ST 259
319 145796__300__14_14_18__74.apx EE-PR 316
320 145796__300__14_14_18__74.apx SE-PR 316
321 146780__400__14_15_41__8.apx EE-GR 101
322 146780__400__14_15_41__8.apx SE-GR 102
323 146780__400__14_15_41__8.apx EE-CO 267
324 146780__400__14_15_41__8.apx SE-CO 262
325 146780__400__14_15_41__8.apx EE-ST 167
326 146780__400__14_15_41__8.apx SE-ST 165
327 146780__400__14_15_41__8.apx EE-PR 266
328 146780__400__14_15_41__8.apx SE-PR 264
329 147966__300__8_8_14__81.apx EE-GR 114
330 147966__300__8_8_14__81.apx SE-GR 113
331 147966__300__8_8_14__81.apx EE-CO 42327
332 147966__300__8_8_14__81.apx SE-CO 42316
333 147966__300__8_8_14__81.apx EE-ST 24905
334 147966__300__8_8_14__81.apx SE-ST 24911
335 147966__300__8_8_14__81.apx EE-PR 42330
336 147966__300__8_8_14__81.apx SE-PR 42334
337 148782__300__2_2_3__65.apx EE-GR 114
338 148782__300__2_2_3__65.apx SE-GR 114
339 148782__300__2_2_3__65.apx EE-CO 355508
340 148782__300__2_2_3__65.apx SE-CO 354638
341 148782__300__2_2_3__65.apx EE-ST 200488
342 148782__300__2_2_3__65.apx SE-ST 200131
343 148782__300__2_2_3__65.apx EE-PR 354775
344 148782__300__2_2_3__65.apx SE-PR 355662
345 149598__400__3_3_40__5.apx EE-GR 101
346 149598__400__3_3_40__5.apx SE-GR 102
347 149598__400__3_3_40__5.apx EE-CO 123
348 149598__400__3_3_40__5.apx SE-CO 122
349 149598__400__3_3_40__5.apx EE-ST 111
350 149598__400__3_3_40__5.apx SE-ST 111
351 149598__400__3_3_40__5.apx EE-PR 122
352 149598__400__3_3_40__5.apx SE-PR 121
353 150857__400__3_11_34__79.apx EE-GR 102
354 150857__400__3_11_34__79.apx SE-GR 101
