    file problem time exit-status
118 124293__300__9_9_17__24.apx SE-ST 167 0
119 124293__300__9_9_17__24.apx EE-PR 192 0
120 124293__300__9_9_17__24.apx SE-PR 192 0
121 124850__300__7_7_11__38.apx EE-GR 124 0
122 124850__300__7_7_11__38.apx SE-GR 123 0
123 124850__300__7_7_11__38.apx EE-CO 18797 0
124 124850__300__7_7_11__38.apx SE-CO 126 0
125 124850__300__7_7_11__38.apx EE-ST 12073 0
126 124850__300__7_7_11__38.apx SE-ST 7282 0
127 124850__300__7_7_11__38.apx EE-PR 18822 0
128 124850__300__7_7_11__38.apx SE-PR 18822 0
129 126235__300__15_15_23__61.apx EE-GR 123 0
130 126235__300__15_15_23__61.apx SE-GR 123 0
131 126235__300__15_15_23__61.apx EE-CO 259 0
132 126235__300__15_15_23__61.apx SE-CO 123 0
133 126235__300__15_15_23__61.apx EE-ST 193 0
134 126235__300__15_15_23__61.apx SE-ST 159 0
135 126235__300__15_15_23__61.apx EE-PR 258 0
136 126235__300__15_15_23__61.apx SE-PR 258 0
137 126695__300__12_12_54__79.apx EE-GR 102 0
138 126695__300__12_12_54__79.apx SE-GR 102 0
139 126695__300__12_12_54__79.apx EE-CO 110 0
140 126695__300__12_12_54__79.apx SE-CO 103 0
141 126695__300__12_12_54__79.apx EE-ST 105 0
142 126695__300__12_12_54__79.apx SE-ST 104 0
143 126695__300__12_12_54__79.apx EE-PR 110 0
144 126695__300__12_12_54__79.apx SE-PR 109 0
145 127258__300__12_12_22__37.apx EE-GR 122 0
146 127258__300__12_12_22__37.apx SE-GR 122 0
147 127258__300__12_12_22__37.apx EE-CO 687 0
148 127258__300__12_12_22__37.apx SE-CO 123 0
149 127258__300__12_12_22__37.apx EE-ST 465 0
150 127258__300__12_12_22__37.apx SE-ST 188 0
151 127258__300__12_12_22__37.apx EE-PR 688 0
152 127258__300__12_12_22__37.apx SE-PR 698 0
153 127686__300__2_2_4__30.apx EE-GR 114 0
154 127686__300__2_2_4__30.apx SE-GR 117 0
155 127686__300__2_2_4__30.apx EE-CO 120002 124
156 127686__300__2_2_4__30.apx SE-CO 119 0
157 127686__300__2_2_4__30.apx EE-ST 82599 0
158 127686__300__2_2_4__30.apx SE-ST 82500 0
159 127686__300__2_2_4__30.apx EE-PR 120003 124
160 127686__300__2_2_4__30.apx SE-PR 120002 124
161 128045__300__8_8_11__38.apx EE-GR 136 0
162 128045__300__8_8_11__38.apx SE-GR 136 0
163 128045__300__8_8_11__38.apx EE-CO 11962 0
164 128045__300__8_8_11__38.apx SE-CO 140 0
165 128045__300__8_8_11__38.apx EE-ST 7670 0
166 128045__300__8_8_11__38.apx SE-ST 2830 0
167 128045__300__8_8_11__38.apx EE-PR 11955 0
168 128045__300__8_8_11__38.apx SE-PR 11966 0
169 130138__300__13_14_55__2.apx EE-GR 103 0
170 130138__300__13_14_55__2.apx SE-GR 102 0
171 130138__300__13_14_55__2.apx EE-CO 114 0
172 130138__300__13_14_55__2.apx SE-CO 102 0
173 130138__300__13_14_55__2.apx EE-ST 107 0
174 130138__300__13_14_55__2.apx SE-ST 103 0
175 130138__300__13_14_55__2.apx EE-PR 113 0
176 130138__300__13_14_55__2.apx SE-PR 111 0
177 130999__300__2_2_3__71.apx EE-GR 116 0
178 130999__300__2_2_3__71.apx SE-GR 116 0
179 130999__300__2_2_3__71.apx EE-CO 120002 124
180 130999__300__2_2_3__71.apx SE-CO 118 0
181 130999__300__2_2_3__71.apx EE-ST 69344 0
182 130999__300__2_2_3__71.apx SE-ST 28997 0
183 130999__300__2_2_3__71.apx EE-PR 120002 124
184 130999__300__2_2_3__71.apx SE-PR 120003 124
