    file problem time exit-status
1 109649__200__11_12_65__35.apx SE-PR 165 0
2 116134__200__18_19_87__57.apx SE-PR 236 0
3 119290__200__21_22_51__46.apx SE-PR 118 0
4 120200__300__11_12_33__98.apx SE-PR 781 0
5 120355__300__9_9_17__90.apx SE-PR 18950 0
6 120534__300__8_8_15__62.apx SE-PR 509 0
7 120572__300__8_9_15__71.apx SE-PR 552 0
8 121196__300__20_20_24__31.apx SE-PR 5883 0
9 122029__300__9_9_18__0.apx SE-PR 1873 0
10 122574__400__10_11_36__3.apx SE-PR 782 0
11 122581__300__8_8_11__76.apx SE-PR 19683 0
12 122639__300__13_13_18__9.apx SE-PR 166 0
13 122981__300__12_12_24__47.apx SE-PR 143 0
14 123848__400__9_11_33__51.apx SE-PR 3031 0
15 124293__300__9_9_17__24.apx SE-PR 200 0
16 124850__300__7_7_11__38.apx SE-PR 18727 0
17 126235__300__15_15_23__61.apx SE-PR 265 0
18 126695__300__12_12_54__79.apx SE-PR 111 0
19 127258__300__12_12_22__37.apx SE-PR 692 0
20 127686__300__2_2_4__30.apx SE-PR 120004 124
21 128045__300__8_8_11__38.apx SE-PR 11953 0
22 130138__300__13_14_55__2.apx SE-PR 115 0
23 130999__300__2_2_3__71.apx SE-PR 120004 124
24 131734__300__7_7_14__88.apx SE-PR 9752 0
25 132179__300__10_10_15__24.apx SE-PR 28713 0
26 132701__300__10_11_16__26.apx SE-PR 1898 0
27 132920__400__12_17_40__77.apx SE-PR 148 0
28 132981__300__10_10_19__14.apx SE-PR 1322 0
29 134006__300__16_17_24__97.apx SE-PR 335 0
30 135068__300__11_11_16__84.apx SE-PR 426 0
31 136011__300__12_12_21__24.apx SE-PR 659 0
32 136131__300__8_10_31__20.apx SE-PR 566 0
33 139361__400__14_14_37__40.apx SE-PR 644 0
34 139477__300__10_10_18__32.apx SE-PR 201 0
35 139987__300__8_12_57__96.apx SE-PR 126 0
36 143673__300__4_4_5__98.apx SE-PR 76844 0
37 143978__300__5_5_8__58.apx SE-PR 35172 0
38 144063__300__13_13_24__29.apx SE-PR 8545 0
39 145703__300__11_12_17__95.apx SE-PR 417 0
40 145796__300__14_14_18__74.apx SE-PR 305 0
41 146780__400__14_15_41__8.apx SE-PR 251 0
42 147966__300__8_8_14__81.apx SE-PR 38961 0
43 148782__300__2_2_3__65.apx SE-PR 120003 124
44 149598__400__3_3_40__5.apx SE-PR 125 0
45 150857__400__3_11_34__79.apx SE-PR 4876 0
46 152085__300__12_12_26__22.apx SE-PR 392 0
47 153752__300__3_3_4__58.apx SE-PR 112954 0
48 153904__300__12_13_36__72.apx SE-PR 247 0
49 156312__300__10_11_63__84.apx SE-PR 116 0
50 158223__300__15_15_29__19.apx SE-PR 330 0
51 158386__300__12_14_63__76.apx SE-PR 119 0
52 159357__400__7_14_44__41.apx SE-PR 230 0
53 159643__300__15_15_21__14.apx SE-PR 24861 0
54 159944__300__4_6_9__72.apx SE-PR 120003 124
55 159956__300__8_9_19__10.apx SE-PR 225 0
56 160116__400__8_10_33__99.apx SE-PR 8922 0
57 162036__300__11_11_30__49.apx SE-PR 142 0
58 162515__300__7_10_66__85.apx SE-PR 113 0
59 164313__300__9_11_64__85.apx SE-PR 115 0
60 164327__400__9_9_44__77.apx SE-PR 174 0
61 166553__200__10_10_103__63.apx SE-PR 111 0
62 168618__400__15_15_40__0.apx SE-PR 488 0
63 169156__300__6_6_8__31.apx SE-PR 120003 124
64 170593__400__15_21_39__30.apx SE-PR 2983 0
65 174098__300__14_14_67__2.apx SE-PR 115 0
66 180108__300__8_8_11__63.apx SE-PR 37023 0
67 180143__400__12_12_44__40.apx SE-PR 116 0
68 184426__300__9_13_69__53.apx SE-PR 119 0
69 186964__300__11_11_17__16.apx SE-PR 3285 0
70 1897134__400__31_31_158__97.apx SE-PR 1247 0
71 192127__300__17_17_35__25.apx SE-PR 166 0
72 208150__400__19_19_52__0.apx SE-PR 200 0
73 217012__300__11_13_20__18.apx SE-PR 35532 0
74 218889__400__10_10_40__92.apx SE-PR 2459 0
75 225196__300__3_3_8__1.apx SE-PR 86191 0
76 225561__300__18_19_27__29.apx SE-PR 556 0
77 243916__300__18_18_29__63.apx SE-PR 693 0
78 245700__300__10_13_42__41.apx SE-PR 143 0
79 282961__300__19_19_36__77.apx SE-PR 154 0
80 295835__300__23_23_63__88.apx SE-PR 1742 0
81 299083__400__2_10_63__30.apx SE-PR 113 0
82 299968__300__14_15_27__75.apx SE-PR 23733 0
83 329663__300__7_7_10__89.apx SE-PR 120004 124
84 358242__400__17_17_67__23.apx SE-PR 1644 0
85 429816__400__4_16_74__73.apx SE-PR 198 0
86 509887__400__19_28_85__22.apx SE-PR 348 0
87 567666__300__26_26_122__27.apx SE-PR 338 0
88 5786688__400__32_32_257__47.apx SE-PR 137 0
89 600053__300__15_27_127__59.apx SE-PR 119 0
90 665218__400__23_23_95__53.apx SE-PR 1092 0
91 rdm1000_0.apx SE-PR 120017 124
